Y,X,fid,vertex_index,,,,,,Checked in QGIS for order,,,,
-36.27133065,149.6064419,1,0,,Order provided by csv creation,0,Reversed in case polygon was not counter clockwise,,all polygons are clockwise (so use reversed index in fire.inp),,,,
-36.27345795,149.6027545,1,1,,"lat_fire_start(1,1)=-36.2734579485186,lon_fire_start(1,1)=149.602754538436,",9,"lat_fire_start(1,9)=-36.2734579485186,lon_fire_start(1,9)=149.602754538436,",,,,,,
-36.27246521,149.6002018,1,2,,"lat_fire_start(1,2)=-36.2724652068055,lon_fire_start(1,2)=149.600201775151,",8,"lat_fire_start(1,8)=-36.2724652068055,lon_fire_start(1,8)=149.600201775151,",,,,,,
-36.26792696,149.5970817,1,3,,"lat_fire_start(1,3)=-36.2679269600943,lon_fire_start(1,3)=149.597081730887,",7,"lat_fire_start(1,7)=-36.2679269600943,lon_fire_start(1,7)=149.597081730887,",,,,,,
-36.2646651,149.588998,1,4,,"lat_fire_start(1,4)=-36.2646650955858,lon_fire_start(1,4)=149.588997979178,",6,"lat_fire_start(1,6)=-36.2646650955858,lon_fire_start(1,6)=149.588997979178,",,,,,,
-36.25927593,149.5881471,1,5,,"lat_fire_start(1,5)=-36.2592759285267,lon_fire_start(1,5)=149.588147056589,",5,"lat_fire_start(1,5)=-36.2592759285267,lon_fire_start(1,5)=149.588147056589,",,,,,,
-36.24807213,149.5872961,1,6,,"lat_fire_start(1,6)=-36.2480721325537,lon_fire_start(1,6)=149.587296136241,",4,"lat_fire_start(1,4)=-36.2480721325537,lon_fire_start(1,4)=149.587296136241,",,TOP MOST POINT,,,,
-36.2548795,149.6019036,1,7,,"lat_fire_start(1,7)=-36.2548795020602,lon_fire_start(1,7)=149.601903616968,",3,"lat_fire_start(1,3)=-36.2548795020602,lon_fire_start(1,3)=149.601903616968,",,Next clockwise point,,,,
-36.26551602,149.6064419,1,8,,"lat_fire_start(1,8)=-36.2655160170542,lon_fire_start(1,8)=149.606441863679,",2,"lat_fire_start(1,2)=-36.2655160170542,lon_fire_start(1,2)=149.606441863679,",,,,,,
-36.27133065,149.6064419,1,9,,"lat_fire_start(1,9)=-36.271330645968,lon_fire_start(1,9)=149.606441863679,",1,"lat_fire_start(1,1)=-36.271330645968,lon_fire_start(1,1)=149.606441863679,",,,,,,
,,,,,,,,,,,,,
-36.20472388,149.5677617,2,0,,,0,,,,,,,
-36.20620067,149.5678672,2,1,,"lat_fire_start(2,1)=-36.2062006748048,lon_fire_start(2,1)=149.567867188501,",18,"lat_fire_start(2,18)=-36.2062006748048,lon_fire_start(2,18)=149.567867188501,",,,,,,
-36.20577873,149.568922,2,2,,"lat_fire_start(2,2)=-36.2057787346736,lon_fire_start(2,2)=149.568922039389,",17,"lat_fire_start(2,17)=-36.2057787346736,lon_fire_start(2,17)=149.568922039389,",,,,,,
-36.20800886,149.5706876,2,3,,"lat_fire_start(2,3)=-36.2080088619159,lon_fire_start(2,3)=149.570687555716,",16,"lat_fire_start(2,16)=-36.2080088619159,lon_fire_start(2,16)=149.570687555716,",,,,,,
-36.21375164,149.5836088,2,4,,"lat_fire_start(2,4)=-36.2137516422907,lon_fire_start(2,4)=149.583608809878,",15,"lat_fire_start(2,15)=-36.2137516422907,lon_fire_start(2,15)=149.583608809878,",,,,,,
-36.21800625,149.5871543,2,5,,"lat_fire_start(2,5)=-36.2180062485124,lon_fire_start(2,5)=149.587154315997,",14,"lat_fire_start(2,14)=-36.2180062485124,lon_fire_start(2,14)=149.587154315997,",,,,,,
-36.22481362,149.5899907,2,6,,"lat_fire_start(2,6)=-36.2248136180189,lon_fire_start(2,6)=149.58999071865,",13,"lat_fire_start(2,13)=-36.2248136180189,lon_fire_start(2,13)=149.58999071865,",,EAST MOST POINT,,,,
-36.2282173,149.5867289,2,7,,"lat_fire_start(2,7)=-36.2282173027722,lon_fire_start(2,7)=149.586728855262,",12,"lat_fire_start(2,12)=-36.2282173027722,lon_fire_start(2,12)=149.586728855262,",,Next clockwise Point,,,,
-36.23233009,149.5838925,2,8,,"lat_fire_start(2,8)=-36.2323300887491,lon_fire_start(2,8)=149.583892451488,",11,"lat_fire_start(2,11)=-36.2323300887491,lon_fire_start(2,11)=149.583892451488,",,,,,,
-36.23332283,149.5853107,2,9,,"lat_fire_start(2,9)=-36.2333228304623,lon_fire_start(2,9)=149.585310652815,",10,"lat_fire_start(2,10)=-36.2333228304623,lon_fire_start(2,10)=149.585310652815,",,,,,,
-36.23403193,149.5846016,2,10,,"lat_fire_start(2,10)=-36.2340319305655,lon_fire_start(2,10)=149.584601551591,",9,"lat_fire_start(2,9)=-36.2340319305655,lon_fire_start(2,9)=149.584601551591,",,,,,,
-36.23147917,149.5809142,2,11,,"lat_fire_start(2,11)=-36.2314791672807,lon_fire_start(2,11)=149.580914226349,",8,"lat_fire_start(2,8)=-36.2314791672807,lon_fire_start(2,8)=149.580914226349,",,,,,,
-36.2282173,149.5766596,2,12,,"lat_fire_start(2,12)=-36.2282173027722,lon_fire_start(2,12)=149.576659621247,",7,"lat_fire_start(2,7)=-36.2282173027722,lon_fire_start(2,7)=149.576659621247,",,,,,,
-36.21970809,149.5721214,2,13,,"lat_fire_start(2,13)=-36.2197080914493,lon_fire_start(2,13)=149.572121373416,",6,"lat_fire_start(2,6)=-36.2197080914493,lon_fire_start(2,6)=149.572121373416,",,,,,,
-36.2147335,149.5690688,2,14,,"lat_fire_start(2,14)=-36.2147334994914,lon_fire_start(2,14)=149.56906878422,",5,"lat_fire_start(2,5)=-36.2147334994914,lon_fire_start(2,5)=149.56906878422,",,,,,,
-36.21421755,149.5677617,2,15,,"lat_fire_start(2,15)=-36.2142175462608,lon_fire_start(2,15)=149.567761701507,",4,"lat_fire_start(2,4)=-36.2142175462608,lon_fire_start(2,4)=149.567761701507,",,,,,,
-36.21210784,149.5631204,2,16,,"lat_fire_start(2,16)=-36.2121078444845,lon_fire_start(2,16)=149.563120355583,",3,"lat_fire_start(2,3)=-36.2121078444845,lon_fire_start(2,3)=149.563120355583,",,,,,,
-36.20757198,149.5632258,2,17,,"lat_fire_start(2,17)=-36.2075719833124,lon_fire_start(2,17)=149.563225841456,",2,"lat_fire_start(2,2)=-36.2075719833124,lon_fire_start(2,2)=149.563225841456,",,,,,,
-36.20472388,149.5677617,2,18,,"lat_fire_start(2,18)=-36.204723882665,lon_fire_start(2,18)=149.567761702628,",1,"lat_fire_start(2,1)=-36.204723882665,lon_fire_start(2,1)=149.567761702628,",,,,,,
,,,,,,,,,,,,,
-36.13745237,149.6492716,3,0,,,0,,,,,,,
-36.15205985,149.6495552,3,1,,"lat_fire_start(3,1)=-36.152059851516,lon_fire_start(3,1)=149.649555206875,",104,"lat_fire_start(3,104)=-36.152059851516,lon_fire_start(3,104)=149.649555206875,",,Eastern point,,,,
-36.1741838,149.6472861,3,2,,"lat_fire_start(3,2)=-36.1741838029724,lon_fire_start(3,2)=149.647286082959,",103,"lat_fire_start(3,103)=-36.1741838029724,lon_fire_start(3,103)=149.647286082959,",,next clockwise point,,,,
-36.18907493,149.6423224,3,3,,"lat_fire_start(3,3)=-36.1890749253085,lon_fire_start(3,3)=149.642322375513,",102,"lat_fire_start(3,102)=-36.1890749253085,lon_fire_start(3,102)=149.642322375513,",,,,,,
-36.1925051,149.6366054,3,4,,"lat_fire_start(3,4)=-36.1925050975016,lon_fire_start(3,4)=149.636605422605,",101,"lat_fire_start(3,101)=-36.1925050975016,lon_fire_start(3,101)=149.636605422605,",,,,,,
-36.19354246,149.6364325,3,5,,"lat_fire_start(3,5)=-36.1935424585446,lon_fire_start(3,5)=149.636432528725,",100,"lat_fire_start(3,100)=-36.1935424585446,lon_fire_start(3,100)=149.636432528725,",,,,,,
-36.19428085,149.6342173,3,6,,"lat_fire_start(3,6)=-36.1942808540543,lon_fire_start(3,6)=149.634217339955,",99,"lat_fire_start(3,99)=-36.1942808540543,lon_fire_start(3,99)=149.634217339955,",,,,,,
-36.19523022,149.6304199,3,7,,"lat_fire_start(3,7)=-36.1952302213102,lon_fire_start(3,7)=149.630419876533,",98,"lat_fire_start(3,98)=-36.1952302213102,lon_fire_start(3,98)=149.630419876533,",,,,,,
-36.19596862,149.6264114,3,8,,"lat_fire_start(3,8)=-36.1959686168199,lon_fire_start(3,8)=149.626411441366,",97,"lat_fire_start(3,97)=-36.1959686168199,lon_fire_start(3,97)=149.626411441366,",,,,,,
-36.19596862,149.6213482,3,9,,"lat_fire_start(3,9)=-36.1959686168199,lon_fire_start(3,9)=149.621348153069,",96,"lat_fire_start(3,96)=-36.1959686168199,lon_fire_start(3,96)=149.621348153069,",,,,,,
-36.19807832,149.6216646,3,10,,"lat_fire_start(3,10)=-36.1980783197167,lon_fire_start(3,10)=149.621664608447,",95,"lat_fire_start(3,95)=-36.1980783197167,lon_fire_start(3,95)=149.621664608447,",,,,,,
-36.20293064,149.6234579,3,11,,"lat_fire_start(3,11)=-36.2029306362672,lon_fire_start(3,11)=149.623457855966,",94,"lat_fire_start(3,94)=-36.2029306362672,lon_fire_start(3,94)=149.623457855966,",,,,,,
