Y,X,id,vertex_index,,
-36.19646567,149.6340205,1,0,,
-36.1992715,149.591933,1,1,,"lat_fire_start(1,1)=-36.1992715024966,lon_fire_start(1,1)=149.591933015268,"
-36.18804817,149.5694863,1,2,,"lat_fire_start(1,2)=-36.1880481692596,lon_fire_start(1,2)=149.569486348794,"
-36.19412747,149.5358163,1,3,,"lat_fire_start(1,3)=-36.194127474763,lon_fire_start(1,3)=149.535816349083,"
-36.17963067,149.4965347,1,4,,"lat_fire_start(1,4)=-36.1796306693319,lon_fire_start(1,4)=149.496534682754,"
-36.14549303,149.4628647,1,5,,"lat_fire_start(1,5)=-36.1454930307363,lon_fire_start(1,5)=149.462864683043,"
-36.140349,149.4675411,1,6,,"lat_fire_start(1,6)=-36.1403490030027,lon_fire_start(1,6)=149.467541071892,"
-36.12444928,149.4502384,1,7,,"lat_fire_start(1,7)=-36.124449280917,lon_fire_start(1,7)=149.450238433151,"
-36.11930525,149.4609941,1,8,,"lat_fire_start(1,8)=-36.1193052531834,lon_fire_start(1,8)=149.460994127503,"
-36.13520498,149.5044845,1,9,,"lat_fire_start(1,9)=-36.1352049752691,lon_fire_start(1,9)=149.504484543796,"
-36.11977289,149.5105638,1,10,,"lat_fire_start(1,10)=-36.1197728920683,lon_fire_start(1,10)=149.5105638493,"
-36.14128428,149.5708893,1,11,,"lat_fire_start(1,11)=-36.1412842807724,lon_fire_start(1,11)=149.570889265448,"
-36.10527609,149.5858537,1,12,,"lat_fire_start(1,12)=-36.1052760866372,lon_fire_start(1,12)=149.585853709764,"
-36.10200261,149.613912,1,13,,"lat_fire_start(1,13)=-36.1020026144431,lon_fire_start(1,13)=149.613912042857,"
-36.13660789,149.6513232,1,14,,"lat_fire_start(1,14)=-36.1366078919237,lon_fire_start(1,14)=149.651323153646,"
-36.19646567,149.6340205,1,15,,"lat_fire_start(1,15)=-36.1964656691873,lon_fire_start(1,15)=149.634020514906,"
,,,,,
-36.20955956,149.5662129,2,0,,
-36.22078289,149.5783715,2,1,,
-36.23200622,149.5722922,2,2,,
-36.21657414,149.5624718,2,3,,
-36.20955956,149.5662129,2,4,,
,,,,,
-36.27315845,149.5924007,3,0,,
-36.26427331,149.5779038,3,1,,
-36.2497765,149.5765009,3,2,,
-36.25492053,149.5928683,3,3,,
-36.27315845,149.5924007,3,4,,
,,,,,
-36.20909192,149.5428309,4,0,,
-36.20254497,149.5306723,4,1,,
-36.20254497,149.5381545,4,2,,
-36.20909192,149.5428309,4,3,,
