Y,X,fid,id,vertex_index,,Name,,,line creation
-36.07795843,149.7805816,,4,6,,Big Belimbla Creek,,,"""=""lat_fire_start(""&D3&"",""&E3&"")=""&A3&"",lon_fire_start(""&D3&"",""&E3&"")=""&B3&"","""""
-36.07121194,149.791463,,4,5,"lat_fire_start(4,5)=-36.0712119363751,lon_fire_start(4,5)=149.79146302147,",Big Belimbla Creek,,,
-36.09123379,149.8149669,,4,4,"lat_fire_start(4,4)=-36.0912337862299,lon_fire_start(4,4)=149.81496693217,",Big Belimbla Creek,,,
-36.12376929,149.8509845,,4,3,"lat_fire_start(4,3)=-36.123769292244,lon_fire_start(4,3)=149.850984499028,",Big Belimbla Creek,,,
-36.10352981,149.800277,,4,2,"lat_fire_start(4,2)=-36.1035298135864,lon_fire_start(4,2)=149.800276987983,",Big Belimbla Creek,,,
-36.07795843,149.7805816,,4,1,"lat_fire_start(4,1)=-36.0779584292609,lon_fire_start(4,1)=149.780581581332,",Big Belimbla Creek,,,
,,,,,,,,,
-36.05421143,149.9344077,,5,4,,Bumbo Creek,,,
-36.03688446,149.8632398,,5,3,"lat_fire_start(5,3)=-36.0368844563936,lon_fire_start(5,3)=149.863239822113,",Bumbo Creek,,,
-36.01427129,149.8926076,,5,2,"lat_fire_start(5,2)=-36.0142712866307,lon_fire_start(5,2)=149.892607575051,",Bumbo Creek,,,
-36.05421143,149.9344077,,5,1,"lat_fire_start(5,1)=-36.0542114306275,lon_fire_start(5,1)=149.934407676734,",Bumbo Creek,,,
